Year,Month,Make,Model,City,State,Hour,Rear Damage,Front Damage,Right Side Damage,Left Side Damage,Inside Damage,Lighting,Weather,Roadway Surface,Movement Preceding Collision
2018,6,Chevrolet,Bolt,San Francisco,CA,14.0,1,0,0,0,0,Daylight,Clear,Dry,Proceeding Straight
2018,7,Chevrolet,Bolt,San Francisco,CA,7.0,1,0,0,0,0,Daylight,Clear,Dry,Making Right Turn
2017,7,Chevrolet,Bolt,San Francisco,CA,10.0,0,0,0,0,0,,,,
2018,7,Chevrolet,Bolt,San Francisco,CA,7.0,0,1,0,0,0,Daylight,Clear,Dry,Stopped
2018,7,Chevrolet,Bolt,San Francisco,CA,14.0,1,0,0,0,0,Daylight,Clear,Dry,Stopped
2018,7,Chevrolet,Bolt,San Francisco,CA,15.0,0,0,0,1,0,Daylight,Clear,Dry,Stopped
2018,8,Chevrolet,Bolt,San Francisco,CA,9.0,0,0,0,1,0,Daylight,Clear,Dry,Proceeding Straight
2018,8,Chevrolet,Bolt,San Francisco,CA,8.0,0,0,0,1,0,Daylight,Fog/Visibility,Dry,Proceeding Straight
2018,8,Chevrolet,Bolt,San Francisco,CA,18.0,0,0,0,1,0,Daylight,Clear,Dry,Proceeding Straight
2018,9,Chevrolet,Bolt,San Francisco,CA,18.0,1,0,1,0,0,Daylight,Clear,Dry,Proceeding Straight
2017,9,Chevrolet,Bolt,San Francisco,CA,16.0,0,0,0,0,0,,,,
2018,9,Chevrolet,Bolt,San Francisco,CA,13.0,1,0,0,0,0,Daylight,Clear,Dry,Stopped
2017,9,Chevrolet,Bolt,San Francisco,CA,11.0,0,0,0,0,0,,,,
2017,9,Chevrolet,Bolt,San Francisco,CA,11.0,0,0,0,0,0,,,,
2017,9,Chevrolet,Bolt,San Francisco,CA,15.0,0,0,0,0,0,,,,
2017,9,Chevrolet,Bolt,San Francisco,CA,18.0,0,0,0,0,0,,,,
2017,9,Chevrolet,Bolt,San Francisco,CA,9.0,0,0,0,0,0,,,,
2018,9,Chevrolet,Bolt,San Francisco,CA,16.0,0,0,0,1,0,Daylight,Clear,Dry,Parked
